model,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,val_high_risk_recall,training_time
LSTM,10,0.13731990479162848,0.07728490864908887,0.9338,0.960747191720308,0.7931188533873552,0.3333333333333333,31.463377952575684
LSTM,20,0.07796968759281905,0.10894561037194876,0.9674,0.9582228953679162,0.8179768870511382,0.47863247863247865,65.94353795051575
LSTM,30,0.023264564112351643,0.18775099013616156,0.9934,0.9562034582860027,0.8012548404537632,0.4188034188034188,100.3928542137146
LSTM,40,0.0068904461475738,0.2334248284847947,0.9976,0.9577180360974379,0.8090764764818045,0.4415954415954416,134.6961326599121
LSTM,50,0.006556361353739842,0.25852998161549273,0.9978,0.9572131768269595,0.8106500096389663,0.4672364672364672,168.26617097854614
Autoformer,10,0.1436579744022757,0.08384100993444563,0.9302655754133957,0.9615044806260254,0.7865889734474125,0.29914529914529914,18.753124237060547
Autoformer,20,0.14239581592892556,0.08833543478295192,0.9305717944435165,0.958601539820775,0.7329869477729795,0.15669515669515668,37.177467823028564
Autoformer,30,0.12524005019879972,0.09142870513180783,0.9383664606647737,0.9589801842736337,0.8112873600041487,0.43304843304843305,55.436747789382935
Autoformer,40,0.1168091876329528,0.10130937853423687,0.9446300317354268,0.9548150952921873,0.7897423891159829,0.3817663817663818,73.63448596000671
Autoformer,50,0.10254844141496952,0.12441893527629412,0.9506430599632537,0.9559510286507636,0.7823558991777736,0.33048433048433046,91.75592827796936
Informer,10,0.14590111833863653,0.07546076069703185,0.9294304326039753,0.9612520509907864,0.8189449819194401,0.4472934472934473,22.49382972717285
Informer,20,0.12830730692447342,0.08346368133565442,0.9379767273537108,0.9584753250031554,0.80622548798542,0.42165242165242167,44.294543981552124
Informer,30,0.10451297659243784,0.10161754620970802,0.9527865931740994,0.9577180360974379,0.8079273884873839,0.4415954415954416,66.88817286491394
Informer,40,0.0852900365118951,0.12413268719786794,0.9643394020377485,0.9594850435441121,0.8094444035777136,0.4301994301994302,88.8765766620636
Informer,50,0.07065710698992111,0.12846260067527487,0.9706029731084015,0.9570869620093398,0.8071257067686947,0.4472934472934473,111.19989895820618
PatchTST,10,0.14409804525702444,0.07682511546932967,0.9301820611324536,0.960747191720308,0.8152132552095291,0.43874643874643876,70.9549515247345
PatchTST,20,0.13169584317015073,0.09451144689963649,0.9364456322031067,0.9583491101855358,0.8103222118077019,0.4415954415954416,143.29297304153442
PatchTST,30,0.1153534539099904,0.11683860435902765,0.9451867936083737,0.9565821027388616,0.8006781269534039,0.41595441595441596,214.47458028793335
PatchTST,40,0.09533799455888115,0.13327065320929607,0.9572406881576749,0.9594850435441121,0.8201735516865297,0.48148148148148145,286.37084794044495
PatchTST,50,0.07305512288544341,0.14022294394631427,0.9697399922053338,0.9575918212798182,0.8008081193717542,0.4074074074074074,357.6251320838928
TFT,10,0.14243150849647587,0.07642895155774795,0.9289850231056177,0.9618831250788843,0.7972888647278961,0.33618233618233617,28.12548518180847
TFT,20,0.12619051174798646,0.08802509079222673,0.9368353655141696,0.9574656064621987,0.8175751329791666,0.4843304843304843,55.609222173690796
TFT,30,0.0872612512086028,0.1814778659005947,0.9596904403986415,0.953679161933611,0.8036439913183994,0.46153846153846156,83.6122534275055
